asset_id,kind,file,origin,tool,licence,notes
boss/mother_carrion/mark/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/mark/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/mark/2,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/mark/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/mark/3,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/mark/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/summon/0,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/summon/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/summon/1,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/summon/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/summon/2,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/summon/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/mother_carrion/summon/3,sprite,Art/Resources/ECArt/bosses.png#boss/mother_carrion/summon/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/attack/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/attack/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/attack/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/attack/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/attack/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/attack/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/attack/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/attack/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/charge/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/charge/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/charge/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/charge/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/charge/2,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/charge/2,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/charge/3,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/charge/3,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/defeat/0,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/0,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
boss/sir_barkhelm/defeat/1,sprite,Art/Resources/ECArt/bosses.png#boss/sir_barkhelm/defeat/1,"original, generated",Tools/art/gen_bosses.py:build,project-owned (original),
